Site	Plot	Lon	Lat	Alt	NDVI	SD	Stability	MAP	MAT	MAP_2010	MAT_2010	NDVI_2010	MAP_2011	MAT_2011	NDVI_2011	NDVI_2010_2011	ANPP_2010_2011	Soil_pH	SOC	TSN	TSP	SST	Plant_alpha	Plant_beta	Plant_gama	SB_alpha	SB_beta	SB_gama	Nema_alpha	Nema_beta	Nema_gama	Ba_alpha	Ba_beta	Ba_gama	Fu_alpha	Fu_beta	Fu_gama	AB_alpha	AB_beta	PB_alpha	PB_beta	PF_alpha	PF_beta	PR_alpha	PR_beta	SS_alpha	SS_beta	BF_alpha	BF_beta	FF_alpha	FF_beta	RF_alpha	RF_beta	OC_alpha	OC_beta	ECM_alpha	ECM_beta	Path_alpha	Path_beta	Sap_alpha	Sap_beta
S20 	P3	116.55500 	43.53900 	1180.00000 	0.34600 	0.06100 	5.68100 	305.90400 	2.73900 	305.09995 	2.81983 	0.29756 	279.99697 	2.75025 	0.38051 	0.29756 	126.07000 	7.39805 	16.13200 	1.94700 	0.07400 	0.21700 	6.00000 	0.68000 	14.00000 	0.66463 	-0.10157 	1.47827 	12.00000 	0.73333 	26.00000 	6038.00000 	0.76797 	11569.00000 	453.00000 	0.78233 	827.00000 	1.00000 	1.00000 	3.00000 	0.50000 	1.00000 	1.00000 	1.00000 	0.50000 	0.00000 	2.00000 	4.00000 	0.56522 	2.00000 	0.80000 	4.00000 	1.18182 	2.00000 	1.50000 	12.00000 	1.11765 	76.00000 	0.60773 	229.00000 	0.67895 
S21 	P1	104.71200 	39.65100 	1268.00000 	0.11600 	0.01900 	6.06400 	148.64300 	9.21100 	134.14645 	9.88767 	0.10914 	128.42484 	9.19200 	0.10936 	0.10914 	5.14000 	8.86507 	1.99400 	0.25300 	0.07600 	-1.00100 	5.00000 	1.00000 	12.00000 	-1.49095 	1.00454 	-1.32639 	7.00000 	0.69565 	13.00000 	2178.00000 	0.75203 	6128.00000 	117.00000 	1.42506 	329.00000 	0.00000 	2.00000 	0.00000 	3.50000 	2.00000 	3.80000 	0.00000 	0.00000 	3.00000 	0.33333 	3.00000 	1.18182 	1.00000 	0.00000 	1.00000 	0.50000 	2.00000 	0.50000 	3.00000 	1.66667 	36.00000 	0.86316 	67.00000 	1.30387 
S21 	P2	104.71200 	39.65100 	1268.00000 	0.11600 	0.01900 	6.06400 	148.64300 	9.21100 	134.14645 	9.88767 	0.10914 	128.42484 	9.19200 	0.10936 	0.10914 	7.73000 	8.71820 	1.69000 	0.22700 	0.06000 	-1.13800 	7.00000 	1.00000 	12.00000 	-0.82059 	1.00454 	-1.32639 	10.00000 	0.69565 	13.00000 	4216.00000 	0.75203 	6128.00000 	131.00000 	1.42506 	329.00000 	1.00000 	2.00000 	1.00000 	3.50000 	2.00000 	3.80000 	0.00000 	0.00000 	3.00000 	0.33333 	6.00000 	1.18182 	2.00000 	0.00000 	1.00000 	0.50000 	1.00000 	0.50000 	1.00000 	1.66667 	23.00000 	0.86316 	34.00000 	1.30387 
S21 	P3	104.71200 	39.65100 	1268.00000 	0.11600 	0.01900 	6.06400 	148.64300 	9.21100 	134.14645 	9.88767 	0.10914 	128.42484 	9.19200 	0.10936 	0.10914 	8.59000 	8.79625 	1.34400 	0.20700 	0.06100 	-1.16400 	6.00000 	1.00000 	12.00000 	-1.01668 	1.00454 	-1.32639 	6.00000 	0.69565 	13.00000 	4099.00000 	0.75203 	6128.00000 	159.00000 	1.42506 	329.00000 	1.00000 	2.00000 	1.00000 	3.50000 	1.00000 	3.80000 	0.00000 	0.00000 	3.00000 	0.33333 	2.00000 	1.18182 	3.00000 	0.00000 	0.00000 	0.50000 	1.00000 	0.50000 	5.00000 	1.66667 	36.00000 	0.86316 	80.00000 	1.30387 
S22 	P1	112.37200 	42.20500 	1302.00000 	0.23500 	0.03900 	5.97700 	252.38600 	5.09800 	283.78564 	5.42258 	0.27033 	190.54526 	4.93700 	0.24515 	0.27033 	118.19000 	8.52576 	7.21900 	0.69700 	0.05100 	-0.70700 	13.00000 	0.54286 	18.00000 	0.18414 	-0.45003 	0.25523 	11.00000 	0.50000 	19.00000 	5201.00000 	0.71493 	9862.00000 	374.00000 	0.85161 	574.00000 	1.00000 	0.80000 	2.00000 	0.80000 	6.00000 	0.28571 	1.00000 	2.00000 	3.00000 	0.00000 	7.00000 	0.50000 	1.00000 	0.80000 	3.00000 	0.50000 	0.00000 	0.80000 	8.00000 	1.11765 	77.00000 	0.55000 	178.00000 	0.76703 
S22 	P2	112.37200 	42.20500 	1302.00000 	0.23500 	0.03900 	5.97700 	252.38600 	5.09800 	283.78564 	5.42258 	0.27033 	190.54526 	4.93700 	0.24515 	0.27033 	85.39000 	8.41214 	5.43100 	0.64200 	0.04500 	-0.85500 	9.00000 	0.54286 	18.00000 	0.47961 	-0.45003 	0.25523 	17.00000 	0.50000 	19.00000 	6279.00000 	0.71493 	9862.00000 	268.00000 	0.85161 	574.00000 	2.00000 	0.80000 	0.00000 	0.80000 	4.00000 	0.28571 	0.00000 	2.00000 	3.00000 	0.00000 	9.00000 	0.50000 	2.00000 	0.80000 	3.00000 	0.50000 	3.00000 	0.80000 	8.00000 	1.11765 	58.00000 	0.55000 	147.00000 	0.76703 
S22 	P3	112.37200 	42.20500 	1302.00000 	0.23500 	0.03900 	5.97700 	252.38600 	5.09800 	283.78564 	5.42258 	0.27033 	190.54526 	4.93700 	0.24515 	0.27033 	79.28000 	8.44986 	5.01900 	0.62100 	0.03400 	-0.95600 	13.00000 	0.54286 	18.00000 	-0.01545 	-0.45003 	0.25523 	10.00000 	0.50000 	19.00000 	5772.00000 	0.71493 	9862.00000 	288.00000 	0.85161 	574.00000 	2.00000 	0.80000 	3.00000 	0.80000 	4.00000 	0.28571 	1.00000 	2.00000 	3.00000 	0.00000 	4.00000 	0.50000 	2.00000 	0.80000 	2.00000 	0.50000 	2.00000 	0.80000 	1.00000 	1.11765 	45.00000 	0.55000 	130.00000 	0.76703 
S23 	P1	120.00300 	49.93000 	719.10000 	0.54400 	0.04500 	12.04800 	370.68100 	-0.53100 	341.87667 	-0.57434 	0.54438 	397.89187 	-0.30950 	0.50239 	0.54438 	142.86000 	6.85382 	47.23900 	3.73000 	0.19800 	2.22000 	30.00000 	0.80822 	44.00000 	0.43929 	0.15589 	0.80701 	20.00000 	0.69091 	31.00000 	2944.00000 	0.89409 	6981.00000 	429.00000 	0.80816 	842.00000 	3.00000 	0.12500 	6.00000 	0.20000 	17.00000 	1.26829 	3.00000 	0.50000 	1.00000 	0.00000 	9.00000 	0.50000 	5.00000 	0.61538 	2.00000 	0.87500 	4.00000 	1.10000 	11.00000 	0.95000 	84.00000 	0.69500 	274.00000 	0.63594 
S23 	P2	120.00300 	49.93000 	719.10000 	0.54400 	0.04500 	12.04800 	370.68100 	-0.53100 	341.87667 	-0.57434 	0.54438 	397.89187 	-0.30950 	0.50239 	0.54438 	301.54000 	6.58369 	53.29900 	4.18600 	0.19700 	2.42400 	23.00000 	0.80822 	44.00000 	0.74863 	0.15589 	0.80701 	17.00000 	0.69091 	31.00000 	5741.00000 	0.89409 	6981.00000 	396.00000 	0.80816 	842.00000 	3.00000 	0.12500 	4.00000 	0.20000 	13.00000 	1.26829 	2.00000 	0.50000 	1.00000 	0.00000 	9.00000 	0.50000 	4.00000 	0.61538 	1.00000 	0.87500 	3.00000 	1.10000 	4.00000 	0.95000 	51.00000 	0.69500 	169.00000 	0.63594 
S23 	P3	120.00300 	49.93000 	719.10000 	0.54400 	0.04500 	12.04800 	370.68100 	-0.53100 	341.87667 	-0.57434 	0.54438 	397.89187 	-0.30950 	0.50239 	0.54438 	135.42000 	6.46332 	65.11000 	4.85000 	0.23700 	3.00000 	20.00000 	0.80822 	44.00000 	0.61852 	0.15589 	0.80701 	18.00000 	0.69091 	31.00000 	2372.00000 	0.89409 	6981.00000 	572.00000 	0.80816 	842.00000 	2.00000 	0.12500 	5.00000 	0.20000 	11.00000 	1.26829 	1.00000 	0.50000 	1.00000 	0.00000 	6.00000 	0.50000 	4.00000 	0.61538 	5.00000 	0.87500 	3.00000 	1.10000 	5.00000 	0.95000 	65.00000 	0.69500 	208.00000 	0.63594 
